[local] 5 -7 80.0 (best c=32.0, g=0.0078125, rate=80.0)
[local] -1 -7 80.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] 5 -1 70.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] -1 -1 80.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] 11 -7 70.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] 11 -1 70.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] 5 -13 80.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] -1 -13 80.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] 11 -13 80.0 (best c=0.5, g=0.0078125, rate=80.0)
[local] -3 -7 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -3 -1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -3 -13 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 5 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -1 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 11 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -3 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 -7 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 -1 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 -13 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 5 -11 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -1 -11 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 11 -11 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -3 -11 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 -11 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 -7 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 -1 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 -13 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 -11 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 5 -5 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -1 -5 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 11 -5 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] -3 -5 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 9 -5 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 3 -5 80.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 15 -7 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 15 -1 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 15 -13 70.0 (best c=0.125, g=0.0078125, rate=80.0)
[local] 15 1 80.0 (best c=0.125, g=0.0078125, rate=80.0)
