[local] 5 -7 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -1 -7 50.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 5 -1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -1 -1 50.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 11 -7 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 11 -1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 5 -13 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -1 -13 50.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 11 -13 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -3 -7 60.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -3 -1 60.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -3 -13 60.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 5 1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -1 1 50.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 11 1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -3 1 60.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 9 -7 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 9 -1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 9 -13 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 9 1 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 5 -11 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -1 -11 50.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 11 -11 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] -3 -11 60.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 9 -11 70.0 (best c=32.0, g=0.0078125, rate=70.0)
[local] 3 -7 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 -1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 -13 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 -11 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 5 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -1 -5 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 11 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -3 -5 60.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 9 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 3 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -7 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -13 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 1 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -11 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 15 -5 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 5 -15 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -1 -15 50.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] 11 -15 70.0 (best c=8.0, g=0.0078125, rate=70.0)
[local] -3 -15 60.0 (best c=8.0, g=0.0078125, rate=70.0)
