[local] 5 -7 60.0 (best c=32.0, g=0.0078125, rate=60.0)
[local] -1 -7 60.0 (best c=0.5, g=0.0078125, rate=60.0)
[local] 5 -1 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] -1 -1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 11 -7 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] 11 -1 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] 5 -13 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -1 -13 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 11 -13 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -3 -7 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -3 -1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -3 -13 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 5 1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -1 1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 11 1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -3 1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 9 -7 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] 9 -1 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] 9 -13 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 9 1 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 5 -11 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] -1 -11 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 11 -11 80.0 (best c=32.0, g=0.5, rate=80.0)
[local] -3 -11 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 9 -11 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 3 -7 60.0 (best c=32.0, g=0.5, rate=80.0)
[local] 3 -1 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] 3 -13 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 3 1 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 3 -11 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 5 -5 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] -1 -5 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 11 -5 80.0 (best c=8.0, g=0.5, rate=80.0)
[local] -3 -5 60.0 (best c=8.0, g=0.5, rate=80.0)
[local] 9 -5 80.0 (best c=8.0, g=0.5, rate=80.0)
